$Version=1
$FileExt=.dmkit|.dmpatch|.dmptrn
$RootPath=Drumaxx
$Alternative=Drumaxx|DrumPad
$Caption=Drumaxx
$RegPath=Drumaxx
$RegValue=rootfolder
$Format=1880

$Flags=12
$ColName=Name
$ColSize=Size
$ColCount=presets
$BankText=preset
$SampleText=preset

;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink
Xenos Soundworks Vol1|Drum Kits\Acoustic|70s Disco_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Acoustic|Funk Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Acoustic|Jazz Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Acoustic|Speed Metal_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Acoustic|Studio Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Dance|Basic 808_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Dance|Basic 909_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Dance|House Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Dance|Psytrance Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Dance|Rave On_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Drum and Bass|Dubstep Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Drum and Bass|Xenos DnB 1_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Drum and Bass|Xenos DnB 2_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Drum and Bass|Xenos DnB_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Drum and Bass|Xenos Dubstep_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|21st Century Electro_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|Elektro Latin_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|Modern Electro_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|Nu Electro_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|Simmons Drums_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Electro|Techstep Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Hip Hop|90s Hip Hop_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Hip Hop|Crunk_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Hip Hop|Old School Rap_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Hip Hop|Xenos Hip Hop_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Industrial|Xenos Industries_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Lo-Fi|Old Keyboard_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|CR-78 Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|Ethnic Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|Exotic_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|Latin Fusion_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|Latin Percussion_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Percussion|Samba_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Special|Forever 80s_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Special|Fusion Kit_free|0|1|0|0|
Xenos Soundworks Vol1|Drum Kits\Special|Hard Swing_free|0|1|0|0|
