$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|100 to 115bpm|AW_100_ChillProgH2_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_100_Intelliform_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_100_Manglers_4|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|Free|AW_100_Manglers_5_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|100 to 115bpm|AW_100_Manglers_5|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_100_Manglers_6|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_105_ChillerSmack_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_105_ChillOutSmack_2|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_105_Orbiter_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_105_RNBSuckAzzz_11|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_105_RNBSuckAzzz_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_110_ChillerHabit_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_110_Glitch_3|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_110_MassivelyTeared_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_110_Suburban_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_110_TripBuddy_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|Free|AW_115_ChillOutPolygon_1_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|100 to 115bpm|AW_115_ChillOutPolygon_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_115_TRMad_1|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|100 to 115bpm|AW_115_TRMad_2|19|9032|82201|1||100 to 115bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_808IsAlive_1|23|14030|82201|1||120 to 124bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_808IsStillAlive_1|23|14030|82201|1||120 to 124bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_AnaKickMax_2|23|14030|82201|1||120 to 124bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_ANiceBeatRow_1|23|14030|82201|1||120 to 124bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_ANiceBeatRow_2|23|14030|82201|1||120 to 124bpm
LoopMaster Airwave Triloops|120 to 124bpm|AW_120_BorisBreaker_1|23|14030|82201|1||120 to 124bpm
