$Version=1
$FileExt=.sakura
$RootPath=Presets
$FilePath=Presets
$Caption=Sakura
$RegPath=Sakura
$RegValue=rootFolder
$Format=344

$Flags=12
$ColName=Name
$ColSize=Size
$ColCount=Presets
$BankText=preset
$SampleText=preset

;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink
Sakura|Atmosphere|ATM ChainSaw Symphony FG|0|1|0|0|
Sakura|Atmosphere|ATM CreepShow FG|0|1|0|0|
Sakura|Atmosphere|ATM Evil Medievel FG|0|1|0|0|
Sakura|Atmosphere|ATM Industrial Activity FG|0|1|0|0|
Sakura|Atmosphere|ATM Marching Steel FG|0|1|0|0|
Sakura|Atmosphere|ATM Mohican Sun FG|0|1|0|0|
Sakura|Atmosphere|ATM MotherShip FG|0|1|0|0|
Sakura|Atmosphere|ATM Night Terrors FG|0|1|0|0|
Sakura|Atmosphere|ATM Zombies FG|0|1|0|0|
Sakura|Bass|BAS Ampeg Pop FG|0|1|0|0|
Sakura|Bass|BAS Deep House FG|0|1|0|0|
Sakura|Bass|BAS DI Bass FG|0|1|0|0|
Sakura|Bass|BAS Fender Picked FG|0|1|0|0|
Sakura|Bass|BAS Funk FG|0|1|0|0|
Sakura|Bass|BAS Jaco FG|0|1|0|0|
Sakura|Bass|BAS Jazz Club FG|0|1|0|0|
Sakura|Bass|BAS Octave Slap FG|0|1|0|0|
Sakura|Bass|BAS Physical Analog FG|0|1|0|0|
Sakura|Bass|BAS PizziBass FG|0|1|0|0|
Sakura|Bass|BAS Platinum Disco FG|0|1|0|0|
Sakura|Bass|BAS Sloppy Picked FG|0|1|0|0|
Sakura|Bass|BAS Stand-Up FG|0|1|0|0|
Sakura|Bass|BAS ThugTech FG|0|1|0|0|
Sakura|Default|Alaska|0|1|0|0|
Sakura|Default|Alladdin|0|1|0|0|
Sakura|Default|Amped E-Guitar|0|1|0|0|
Sakura|Default|Asian Keys|0|1|0|0|
Sakura|Default|Bass 10|0|1|0|0|
Sakura|Default|Bass 1|0|1|0|0|
Sakura|Default|Bass 2|0|1|0|0|
Sakura|Default|Bass 3|0|1|0|0|
Sakura|Default|Bass 4|0|1|0|0|
Sakura|Default|Bass 5|0|1|0|0|
Sakura|Default|Bass 6|0|1|0|0|
Sakura|Default|Bass 7|0|1|0|0|
Sakura|Default|Bass 8|0|1|0|0|
Sakura|Default|Bass 9|0|1|0|0|
Sakura|Default|Big Body|0|1|0|0|
Sakura|Default|Bowed 1|0|1|0|0|
Sakura|Default|Bowed 2|0|1|0|0|
Sakura|Default|Bowed 3|0|1|0|0|
Sakura|Default|Bowed 4|0|1|0|0|
Sakura|Default|Bowed 5|0|1|0|0|
Sakura|Default|Bowed 6|0|1|0|0|
Sakura|Default|Bowed 7|0|1|0|0|
Sakura|Default|Bowed 8|0|1|0|0|
Sakura|Default|Bright harp|0|1|0|0|
Sakura|Default|Chinese Strings|0|1|0|0|
Sakura|Default|Clavichord|0|1|0|0|
Sakura|Default|Clocks|0|1|0|0|
Sakura|Default|Custom|0|1|0|0|
Sakura|Default|Detuned E-Guitar|0|1|0|0|
Sakura|Default|Drama Keys|0|1|0|0|
Sakura|Default|Drops 1|0|1|0|0|
Sakura|Default|Drops 2|0|1|0|0|
Sakura|Default|E-Bass|0|1|0|0|
Sakura|Default|E-Guitar|0|1|0|0|
Sakura|Default|E-Keys 10|0|1|0|0|
Sakura|Default|E-Keys 1|0|1|0|0|
Sakura|Default|E-Keys 2|0|1|0|0|
Sakura|Default|E-Keys 3|0|1|0|0|
Sakura|Default|E-Keys 4|0|1|0|0|
Sakura|Default|E-Keys 5|0|1|0|0|
Sakura|Default|E-Keys 6|0|1|0|0|
Sakura|Default|E-Keys 7|0|1|0|0|
Sakura|Default|E-Keys 8.5|0|1|0|0|
